gain_setting,component,model,term,alpha_refit
H2,PC1,quadratic,THERM_FPGA*THERM_FPGA,-0.0017978005940126364
H2,PC1,quadratic,SPE_ADC1_T*SPE_ADC1_T,-0.002937354625174214
H2,PC1,quadratic,THERM_FPGA*SPE_ADC1_T,0.004598104319248494
L3,PC1,linear,1,0.013845066945591308
L3,PC1,linear,THERM_FPGA,-7.246357872070877e-06
L3,PC1,linear,SPE_ADC1_T,1.8504603186422493e-05
L3,PC1,linear,SPE_1VAD8_V,0.01371937383352816
L3,PC1,linear,VMON_1V2D,-0.03559292014531955
L3,PC1,linear,SPE_1VAD8_C,0.011292911248887236
L3,PC1,quadratic,1,-0.029508679221848026
L3,PC1,quadratic,THERM_FPGA,-5.794243966669929e-05
L3,PC1,quadratic,SPE_ADC1_T,9.443241318135384e-05
L3,PC1,quadratic,SPE_1VAD8_V,0.024979055085043098
L3,PC1,quadratic,VMON_1V2D,-0.018820731738485506
L3,PC1,quadratic,SPE_1VAD8_C,0.016969763858482593
L3,PC1,quadratic,THERM_FPGA*THERM_FPGA,-1.0734496569973274e-06
L3,PC1,quadratic,SPE_ADC1_T*SPE_ADC1_T,-2.069168923560551e-06
L3,PC1,quadratic,THERM_FPGA*SPE_ADC1_T,2.9203070972651887e-06
M3,PC1,linear,1,1.1653230147192475
M3,PC1,linear,SPE_ADC1_T,0.00036699008770938596
M3,PC1,linear,SPE_1VAD8_V,-0.08117119799794183
M3,PC1,linear,VMON_1V2D,-0.8159758017151607
M3,PC1,linear,SPE_1VAD8_C,-0.23694786727329278
M3,PC1,quadratic,1,0.03259755858160996
M3,PC1,quadratic,SPE_ADC1_T,0.0004929211434171426
M3,PC1,quadratic,SPE_1VAD8_C,-0.240249066437288
M3,PC1,quadratic,THERM_FPGA*THERM_FPGA,-1.899593831600026e-06
H3,PC1,linear,1,-60.46381064925147
H3,PC1,linear,THERM_FPGA,0.006943869668518232
H3,PC1,linear,SPE_ADC1_T,-0.025771224161510897
H3,PC1,linear,VMON_1V2D,49.90702320946741
H3,PC1,linear,SPE_1VAD8_C,7.201894231594303
H3,PC1,quadratic,1,77.16631055104791
H3,PC1,quadratic,THERM_FPGA,0.007466261915328551
H3,PC1,quadratic,SPE_ADC1_T,-0.027698259761813126
H3,PC1,quadratic,SPE_1VAD8_V,-44.03089446031732
H3,PC1,quadratic,VMON_1V2D,8.458343693102075
H3,PC1,quadratic,SPE_1VAD8_C,-12.915940716528889
H3,PC1,quadratic,THERM_FPGA*THERM_FPGA,0.0003713746418801782
H3,PC1,quadratic,THERM_FPGA*SPE_ADC1_T,-0.0004156289450977478
L0,PC2,linear,1,0.006734837041788873
L0,PC2,linear,THERM_FPGA,3.748794519564918e-06
L0,PC2,linear,SPE_ADC0_T,-5.5676504813903055e-06
L0,PC2,linear,SPE_1VAD8_V,-0.0017717131537718339
L0,PC2,linear,VMON_1V2D,-0.0028462222066502466
L0,PC2,linear,SPE_1VAD8_C,0.0008960391759222
L0,PC2,quadratic,1,0.0022347573320779745
L0,PC2,quadratic,THERM_FPGA,-2.4242919590790887e-06
L0,PC2,quadratic,SPE_ADC0_T,4.193315102675361e-06
L0,PC2,quadratic,SPE_1VAD8_V,-0.00226550908411737
L0,PC2,quadratic,VMON_1V2D,0.0016857851803491132
L0,PC2,quadratic,SPE_1VAD8_C,0.00040601557004142717
L0,PC2,quadratic,THERM_FPGA*THERM_FPGA,-1.1002978375609734e-07
L0,PC2,quadratic,SPE_ADC0_T*SPE_ADC0_T,-1.5975948357283973e-07
L0,PC2,quadratic,THERM_FPGA*SPE_ADC0_T,2.304538010563461e-07
M0,PC2,linear,1,-1.1847937599466487
M0,PC2,linear,THERM_FPGA,-9.376876131659759e-05
M0,PC2,linear,SPE_ADC0_T,0.00018421014353145818
M0,PC2,linear,SPE_1VAD8_V,0.2641286833017358
M0,PC2,linear,VMON_1V2D,0.5588733048859417
M0,PC2,linear,SPE_1VAD8_C,0.03944979270160793
M0,PC2,quadratic,1,-0.19110306472833935
M0,PC2,quadratic,THERM_FPGA,-6.931126150151248e-05
M0,PC2,quadratic,SPE_ADC0_T,6.062335874045493e-05
M0,PC2,quadratic,SPE_1VAD8_V,0.06558545429118963
M0,PC2,quadratic,VMON_1V2D,0.05810847092199223
M0,PC2,quadratic,SPE_1VAD8_C,-0.027934794418778473
M0,PC2,quadratic,THERM_FPGA*THERM_FPGA,1.0462685164666332e-06
H0,PC2,linear,1,-27.00362948270632
H0,PC2,linear,THERM_FPGA,-0.004504009717203661
H0,PC2,linear,SPE_ADC0_T,0.00716437056483088
H0,PC2,linear,SPE_1VAD8_V,3.7082319450817804
H0,PC2,linear,VMON_1V2D,16.533294172267176
H0,PC2,quadratic,1,-8.54725521772067
H0,PC2,quadratic,THERM_FPGA,0.016488892730615542
H0,PC2,quadratic,SPE_ADC0_T,-0.02226227026192102
H0,PC2,quadratic,SPE_1VAD8_V,3.246877153285666
H0,PC2,quadratic,VMON_1V2D,2.0676631491387933
H0,PC2,quadratic,THERM_FPGA*THERM_FPGA,0.0004958340008478796
H0,PC2,quadratic,SPE_ADC0_T*SPE_ADC0_T,0.0007915687500465087
H0,PC2,quadratic,THERM_FPGA*SPE_ADC0_T,-0.0012113156775228773
L1,PC2,linear,1,-0.019781443268771706
L1,PC2,linear,THERM_FPGA,5.936041341909177e-06
L1,PC2,linear,SPE_ADC0_T,-6.632291243016696e-06
L1,PC2,linear,SPE_1VAD8_V,0.005414824823533732
L1,PC2,linear,VMON_1V2D,0.006298945291091363
L1,PC2,linear,SPE_1VAD8_C,0.010726781051353853
L1,PC2,quadratic,1,-0.018758356628308562
L1,PC2,quadratic,THERM_FPGA,2.5117997214270642e-05
L1,PC2,quadratic,SPE_ADC0_T,-3.248060143217814e-05
L1,PC2,quadratic,VMON_1V2D,0.016965678413448402
L1,PC2,quadratic,SPE_1VAD8_C,-0.006609479314123744
L1,PC2,quadratic,THERM_FPGA*THERM_FPGA,3.9294839721742085e-07
L1,PC2,quadratic,SPE_ADC0_T*SPE_ADC0_T,8.618879759468188e-07
L1,PC2,quadratic,THERM_FPGA*SPE_ADC0_T,-1.2411909788021734e-06
M1,PC2,linear,1,0.6463935573474713
M1,PC2,linear,THERM_FPGA,0.0002169936186952534
M1,PC2,linear,SPE_ADC0_T,-0.0003176146357982638
M1,PC2,linear,SPE_1VAD8_V,-0.24531303279708633
M1,PC2,linear,VMON_1V2D,-0.15552871624500736
M1,PC2,linear,SPE_1VAD8_C,0.07297800291155059
M1,PC2,quadratic,1,0.09100464176444428
M1,PC2,quadratic,THERM_FPGA,0.00028595615817974645
M1,PC2,quadratic,SPE_ADC0_T,-0.0002937574540162592
M1,PC2,quadratic,SPE_1VAD8_V,-0.1613383893190496
M1,PC2,quadratic,VMON_1V2D,0.17212422834394986
M1,PC2,quadratic,SPE_1VAD8_C,0.07799941686650202
M1,PC2,quadratic,THERM_FPGA*THERM_FPGA,2.9100494736658165e-06
M1,PC2,quadratic,SPE_ADC0_T*SPE_ADC0_T,5.401809151776464e-06
M1,PC2,quadratic,THERM_FPGA*SPE_ADC0_T,-9.615565952129679e-06
H1,PC2,linear,1,8.196198499479463
H1,PC2,linear,THERM_FPGA,0.010336555692068261
H1,PC2,linear,SPE_ADC0_T,-0.0140760117503341
H1,PC2,linear,SPE_1VAD8_V,-4.4321585400582455
H1,PC2,linear,SPE_1VAD8_C,2.570349661843363
H1,PC2,quadratic,1,-10.702188375509209
H1,PC2,quadratic,THERM_FPGA,0.010487125540040176
H1,PC2,quadratic,SPE_ADC0_T,-0.008735012945518527
H1,PC2,quadratic,SPE_1VAD8_V,-2.9168168966498964
H1,PC2,quadratic,VMON_1V2D,13.261338880960663
H1,PC2,quadratic,SPE_1VAD8_C,2.6154277042172573
H1,PC2,quadratic,THERM_FPGA*THERM_FPGA,7.615079717904812e-05
H1,PC2,quadratic,SPE_ADC0_T*SPE_ADC0_T,0.00015190066334334722
H1,PC2,quadratic,THERM_FPGA*SPE_ADC0_T,-0.00030332190112046
L2,PC2,linear,1,0.007990723437303863
L2,PC2,linear,THERM_FPGA,-4.874162506906404e-06
L2,PC2,linear,SPE_ADC1_T,6.708100485172813e-06
L2,PC2,linear,SPE_1VAD8_V,-0.0024778978773866826
L2,PC2,linear,VMON_1V2D,-0.0030880916341086964
L2,PC2,linear,SPE_1VAD8_C,0.0017976255188990047
L2,PC2,quadratic,1,0.0035700697801661686
L2,PC2,quadratic,THERM_FPGA,-5.339927681379005e-06
L2,PC2,quadratic,SPE_ADC1_T,6.762729309982211e-06
L2,PC2,quadratic,SPE_1VAD8_V,-0.0009645638402690424
L2,PC2,quadratic,VMON_1V2D,-0.0017731641900552422
L2,PC2,quadratic,SPE_1VAD8_C,0.00160839767476361
L2,PC2,quadratic,THERM_FPGA*THERM_FPGA,-3.63983493399567e-08
L2,PC2,quadratic,SPE_ADC1_T*SPE_ADC1_T,-7.341831073335153e-08
L2,PC2,quadratic,THERM_FPGA*SPE_ADC1_T,1.1844390207770364e-07
M2,PC2,linear,THERM_FPGA,-0.00016406757352003715
M2,PC2,linear,SPE_ADC1_T,0.00022091004971297668
M2,PC2,linear,SPE_1VAD8_V,-0.07042910824809295
M2,PC2,linear,VMON_1V2D,0.12201590598764861
M2,PC2,linear,SPE_1VAD8_C,-0.07883743802859984
M2,PC2,quadratic,1,-0.09061103205648405
M2,PC2,quadratic,THERM_FPGA,-0.00015035085147478109
M2,PC2,quadratic,SPE_ADC1_T,0.00016752087875851777
M2,PC2,quadratic,SPE_1VAD8_V,-0.008041788405695251
M2,PC2,quadratic,VMON_1V2D,0.09389736304053811
M2,PC2,quadratic,SPE_1VAD8_C,-0.04691212784419231
M2,PC2,quadratic,THERM_FPGA*THERM_FPGA,-7.08011877008885e-07
M2,PC2,quadratic,SPE_ADC1_T*SPE_ADC1_T,-1.670724184938297e-06
M2,PC2,quadratic,THERM_FPGA*SPE_ADC1_T,3.029359433569477e-06
H2,PC2,linear,1,-4.995748809318457
H2,PC2,linear,THERM_FPGA,0.006657596517267744
H2,PC2,linear,SPE_ADC1_T,-0.008269313035386971
H2,PC2,linear,SPE_1VAD8_V,6.463005306902244
H2,PC2,linear,VMON_1V2D,-6.948856144821209
H2,PC2,linear,SPE_1VAD8_C,5.630305073324487
H2,PC2,quadratic,THERM_FPGA,-0.0022895436739240153
H2,PC2,quadratic,SPE_ADC1_T,0.005810527620571194
H2,PC2,quadratic,VMON_1V2D,-0.3917438699245894
H2,PC2,quadratic,SPE_1VAD8_C,2.3812369203709736
H2,PC2,quadratic,THERM_FPGA*THERM_FPGA,-0.00017427142547179466
